# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      meandata
# Restrict with the SQL clause:    mod0 IS NOT NULL AND vgsr IS NOT NULL
# Display the fields:              objname, mod0, vgsr
# Order by:                        mod0
# Description of each column
# objname: ------------- <NA>
#  mod0: --------------- <NA>
#  vgsr: --------------- <NA>
#-------,-----,-----
objname, mod0, vgsr
#-------,-----,-----
NGC6809,13.58,212.8
HYDRA1,15.519,-55.4
SEGUE3,16.133,35.7
SEGUE1,16.8,113.6
TUCANA3,17.01,-195.2
SAGITTARIUS_DWARF_SPHEROIDAL,17.1,169
NGC6715,17.11,170.9
LAEVENS2,17.341,-257.5
RETICULUM2,17.45,-90.6
UMA2,17.5,-33.2
SEGUE2,17.727,42.3
BOOTES2,18.1,-116.4
SDSSJ1049+5103,18.108,35.4
COMA,18.152,81.8
BOOTES3,18.35,240.1
ESO056-115,18.507,90.2
TUCANA2,18.8,-204.9
NGC0292,18.97,20.9
BOOTES1,19.096,108.8
UGC09749,19.29,-92.1
UGC10822,19.53,-100.8
HOROLOGIUM1,19.6,-26.7
ESO351-030,19.628,76.4
PGC088608,19.714,73.9
UMA1,19.953,-7.3
AQUARIUS2,20.16,40.9
ESO206-020A,20.164,13.3
CRATER2,20.35,-74.3
GRUS1,20.4,-186.4
ANTLIA2,20.56,64.6
HYDRA2,20.64,129.7
HERCULES,20.801,144.8
ESO356-004,20.858,-56.2
LEO4,20.957,10.2
CANES_VENATICI_2,21.003,-95.4
CRATER,21.1,-0.2
LEO5,21.25,58.7
PISCES2,21.3,-75.4
PEGASUS3,21.634,-62.9
CANES_VENATICI_DWARF,21.653,69.3
UGC06253,21.833,31.8
UGC05470,22.108,174.3
ERIDANUS2,22.82,-66.9
AGC198606,22.89,-47.2
LEOT,23.085,-58.5
ESO245-007,23.205,-141.7
NGC6822,23.317,43.7
ANDROMEDA16,23.707,-211.3
PGC3084796,23.98,-66.6
PGC2017209,24,-199.7
[RC2]A0113+33,24.017,-43.1
ANDROMEDA10,24.046,8
NGC0185,24.11,-16.8
ANDROMEDA30,24.17,48.1
PGC002590,24.18,-150.9
NGC0147,24.253,-4.1
PGC002666,24.325,-204
ANDROMEDA11,24.332,-296.8
PGC002121,24.337,-170.7
ANDROMEDA17,24.349,-68
PGC2802582,24.35,-194.4
ANDROMEDA23,24.36,-85.4
ANDROMEDA14,24.369,-325.9
ANDROMEDA05,24.39,-223.1
IC1613,24.395,-152.9
ANDROMEDA31,24.4,15.9
PGC003792,24.419,-152.6
ANDROMEDA09,24.427,-32.8
ANDROMEDA28,24.445,-120.3
ANDROMEDA32,24.45,-181.3
PGC3097691,24.455,-24.1
NGC0224,24.462,-112.3
ANDROMEDA06,24.463,-168.9
ANDROMEDA15,24.47,-164.3
UGC05364,24.472,-16.9
ANDROMEDA33,24.49,-216.1
PGC2802596,24.49,-180.3
ANDROMEDA25,24.496,81
NGC0221,24.499,-22.5
IC0010,24.5,-146.8
NGC0205,24.522,-62.1
PGC2802610,24.53,-155.2
PANDAS48,24.57,-95.6
PGC2807155,24.573,-96.1
ANDROMEDA29,24.59,-13.1
ANDROMEDA27,24.602,-355
ANDROMEDA21,24.608,-163.6
ANDROMEDA13,24.618,-24.5
ANDROMEDA12,24.625,-393
ANDROMEDA22,24.66,3.2
NGC0598,24.714,-47.7
[SVA2008]M33EC1,24.75,-18.7
PGC2802573,24.8,-439.1
PGC069519,24.815,98.9
ANDROMEDA19,24.827,67.6
UGC12613,24.924,-19.3
PGC065367,24.936,-25.8
PGC000143,24.938,-53.9
ESO594-004,25.167,7.4
ANTLIAB,25.56,164.2
NGC3109,25.56,193.3
PGC029194,25.561,150
PGC029653,25.585,162.8
ANDROMEDA18,25.594,-134.7
UGC04879,25.677,14.3
UGC05373,25.788,167.9
AGC249525,26.07,74.9
HIJ102145.0+180501,26.078,179.3
PGC2807061,26.12,142.4
PGC100169,26.15,207.6
PGC2801026,26.416,95.1
ESO410-005,26.438,29.1
ESO294-010,26.447,68.8
IC5152,26.462,82.8
PGC166185,26.482,133.2
NGC0300,26.534,121.3
UGC08091,26.605,185.6
NGC0055,26.624,98.3
PGC009140,26.63,156.9
UGC02773,26.69,330.5
ESO407-018,26.736,73.9
ESO468-020,26.75,123.9
UGC09128,26.796,195.7
IC3104,26.86,242.5
IC4662,27.03,195.5
PGC2807157,27.034,63
UGC08508,27.071,168.3
UGC07577,27.076,249.8
NGC7412A,27.08,911
PGC2807150,27.104,257.6
UGC06817,27.119,269
ESO274-001,27.235,406.6
PGC100170,27.236,257.2
UGC09240,27.251,257.7
NGC4190,27.26,179.3
PGC014241,27.368,212.6
NGC4214,27.37,313.2
NGC0404,27.37,105
NGC4163,27.378,183.2
NGC1560,27.38,105.8
UGC07949,27.39,367.5
UGC08651,27.47,275.8
ESO269-037,27.49,568.5
ESO383-087,27.521,190.7
PGC015439,27.526,18.4
ESO349-031,27.527,213.8
NGC2403,27.529,237
NGC5206,27.53,417.7
PGC021302,27.53,313.9
NGC1569,27.531,33.8
NGC3741,27.545,267.2
UGC08833,27.553,292.5
PGC166077,27.556,80.8
NGC2366,27.58,209.1
UGC08760,27.584,262.5
ESO321-014,27.588,425.3
NGC5237,27.61,205.8
ESO540-031,27.621,308.7
ESO540-030,27.625,247.6
PGC2807103,27.64,206.7
HIPASSJ1247-77,27.646,227.4
ESO325-011,27.66,395.6
PGC095597,27.665,157.9
[CKT2009]D0944+71,27.677,76.5
NGC5253,27.679,274.5
PGC023521,27.68,226
PGC016957,27.68,223.1
IC0342,27.68,171.8
NGC4945,27.699,386.2
UGC04305,27.703,269.5
